,addr_state,annual_inc,emp_length,emp_title,home_ownership,installment,loan_amnt,purpose,term,int_rate,avg_cur_bal,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
1,TX,97500.0,1 year,manager,RENT,966.47,35000,debt_consolidation,60 months,0.2199,7019.0,148.0,170.0,28.0,9.0,4,0.0,14.0,2.0,12.0,0.0,1.0,13,87.5,0,24,84227.0,Fully Paid
2,NY,120000.0,1 year,manager,RENT,806.57,25000,credit_card,36 months,0.0999,4891.0,128.0,147.0,80.0,11.0,0,53.0,11.0,2.0,7.0,0.0,1.0,8,100.0,0,16,39124.0,Fully Paid
3,CA,130000.0,10+ years,agent,RENT,846.17,25225,debt_consolidation,36 months,0.1269,17619.0,130.0,172.0,68.0,2.0,4,41.0,9.0,9.0,3.0,0.0,2.0,8,50.0,0,24,123331.0,Fully Paid
4,TX,58296.0,10+ years,manager,MORTGAGE,41.79,1200,other,36 months,0.1531,12321.0,167.0,145.0,18.0,18.0,1,0.0,7.0,7.0,6.0,0.0,0.0,9,100.0,0,17,51794.0,Fully Paid
5,VA,87000.0,< 1 year,supply tech,RENT,629.47,24000,credit_card,60 months,0.1952,5896.0,354.0,100.0,1.0,1.0,2,27.0,13.0,12.0,19.0,0.0,6.0,24,77.8,0,42,50912.0,Charged Off
6,FL,187000.0,1 year,top executive,MORTGAGE,833.15,24000,home_improvement,36 months,0.151,17914.0,145.0,226.0,3.0,2.0,2,2.0,13.0,9.0,13.0,0.0,8.0,17,0.0,0,40,102369.0,Fully Paid
7,VA,119000.0,10+ years,health expert,MORTGAGE,479.0,21000,debt_consolidation,60 months,0.1311,47052.0,167.0,165.0,5.0,5.0,6,54.0,6.0,4.0,9.0,0.0,2.0,12,66.7,0,26,84403.0,Fully Paid
9,CA,55000.0,5 years,research facilities coordinator ii,RENT,492.23,20000,debt_consolidation,60 months,0.1655,6957.0,126.0,53.0,2.0,1.0,0,0.0,3.0,17.0,6.0,2.0,5.0,9,0.0,1,24,62619.0,Fully Paid
10,PA,81000.0,8 years,school staff,MORTGAGE,503.16,16000,credit_card,36 months,0.0824,12658.0,207.0,202.0,31.0,5.0,3,50.0,12.0,36.0,11.0,0.0,2.0,18,71.4,0,66,131604.0,Fully Paid
11,WI,45000.0,10+ years,asst corp sec,MORTGAGE,505.93,16800,debt_consolidation,36 months,0.0532,19140.0,87.0,165.0,22.0,11.0,5,0.0,4.0,5.0,4.0,0.0,1.0,5,0.0,0,20,14194.0,Fully Paid
12,NM,90000.0,10+ years,custom and border protection,MORTGAGE,547.43,24000,credit_card,60 months,0.1311,18357.0,139.0,276.0,6.0,6.0,4,0.0,10.0,7.0,10.0,0.0,3.0,12,40.0,0,33,29684.0,Fully Paid
13,IL,53100.0,10+ years,manager,MORTGAGE,162.73,4900,debt_consolidation,36 months,0.1199,3150.0,81.0,66.0,10.0,10.0,1,31.0,2.0,16.0,5.0,0.0,6.0,20,100.0,0,22,62991.0,Fully Paid
15,KS,120000.0,10+ years,director,MORTGAGE,578.62,19000,debt_consolidation,36 months,0.0607,30956.0,162.0,268.0,58.0,8.0,3,12.0,9.0,13.0,6.0,0.0,1.0,13,0.0,0,32,70490.0,Fully Paid
16,CA,60000.0,10+ years,front desk,RENT,69.93,2000,debt_consolidation,36 months,0.1561,2301.0,125.0,234.0,2.0,2.0,6,0.0,14.0,10.0,18.0,0.0,10.0,20,20.0,1,46,41412.0,Charged Off
17,CA,60000.0,10+ years,manager,RENT,170.09,5000,debt_consolidation,36 months,0.1367,2837.0,108.0,156.0,1.0,1.0,2,6.0,7.0,11.0,5.0,2.0,3.0,7,50.0,0,30,19861.0,Fully Paid
18,NY,52000.0,10+ years,supervisor,RENT,498.6,14300,other,36 months,0.1541,6824.0,87.0,183.0,18.0,14.0,0,5.0,13.0,10.0,7.0,0.0,0.0,15,100.0,0,33,88713.0,Fully Paid
20,IL,195000.0,10+ years,sales rep,RENT,389.58,12000,debt_consolidation,36 months,0.1042,4006.0,142.0,384.0,2.0,2.0,1,30.0,10.0,7.0,10.0,0.0,2.0,11,0.0,0,30,40057.0,Fully Paid
21,GA,25000.0,10+ years,top executive,RENT,164.93,4500,debt_consolidation,36 months,0.1899,3595.0,114.0,110.0,15.0,5.0,1,23.0,5.0,5.0,8.0,0.0,3.0,11,80.0,0,16,14794.0,Fully Paid
22,NY,76000.0,1 year,manager,MORTGAGE,314.48,10000,debt_consolidation,36 months,0.0824,10193.0,155.0,229.0,50.0,5.0,2,4.0,7.0,27.0,5.0,1.0,2.0,16,50.0,0,43,95652.0,Fully Paid
