,annual_inc,emp_length,installment,loan_amnt,purpose,int_rate,avg_cur_bal,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,term_36 months,term_60 months
0,97500.0,1,966.47,35000,2,0.2199,7019.0,148.0,170.0,28.0,9.0,4,0.0,14.0,2.0,12.0,0.0,1.0,13,87.5,0,24,84227.0,0,0,0,0,1,0,1
1,120000.0,1,806.57,25000,1,0.0999,4891.0,128.0,147.0,80.0,11.0,0,53.0,11.0,2.0,7.0,0.0,1.0,8,100.0,0,16,39124.0,0,0,0,0,1,1,0
2,130000.0,10,846.17,25225,2,0.1269,17619.0,130.0,172.0,68.0,2.0,4,41.0,9.0,9.0,3.0,0.0,2.0,8,50.0,0,24,123331.0,0,0,0,0,1,1,0
3,58296.0,10,41.79,1200,8,0.1531,12321.0,167.0,145.0,18.0,18.0,1,0.0,7.0,7.0,6.0,0.0,0.0,9,100.0,0,17,51794.0,0,0,1,0,0,1,0
4,87000.0,0,629.47,24000,1,0.1952,5896.0,354.0,100.0,1.0,1.0,2,27.0,13.0,12.0,19.0,0.0,6.0,24,77.8,0,42,50912.0,1,0,0,0,1,0,1
5,187000.0,1,833.15,24000,3,0.151,17914.0,145.0,226.0,3.0,2.0,2,2.0,13.0,9.0,13.0,0.0,8.0,17,0.0,0,40,102369.0,0,0,1,0,0,1,0
6,119000.0,10,479.0,21000,2,0.1311,47052.0,167.0,165.0,5.0,5.0,6,54.0,6.0,4.0,9.0,0.0,2.0,12,66.7,0,26,84403.0,0,0,1,0,0,0,1
7,55000.0,5,492.23,20000,2,0.1655,6957.0,126.0,53.0,2.0,1.0,0,0.0,3.0,17.0,6.0,2.0,5.0,9,0.0,1,24,62619.0,0,0,0,0,1,0,1
8,81000.0,8,503.16,16000,1,0.0824,12658.0,207.0,202.0,31.0,5.0,3,50.0,12.0,36.0,11.0,0.0,2.0,18,71.4,0,66,131604.0,0,0,1,0,0,1,0
9,45000.0,10,505.93,16800,2,0.0532,19140.0,87.0,165.0,22.0,11.0,5,0.0,4.0,5.0,4.0,0.0,1.0,5,0.0,0,20,14194.0,0,0,1,0,0,1,0
10,90000.0,10,547.43,24000,1,0.1311,18357.0,139.0,276.0,6.0,6.0,4,0.0,10.0,7.0,10.0,0.0,3.0,12,40.0,0,33,29684.0,0,0,1,0,0,0,1
11,53100.0,10,162.73,4900,2,0.1199,3150.0,81.0,66.0,10.0,10.0,1,31.0,2.0,16.0,5.0,0.0,6.0,20,100.0,0,22,62991.0,0,0,1,0,0,1,0
12,120000.0,10,578.62,19000,2,0.0607,30956.0,162.0,268.0,58.0,8.0,3,12.0,9.0,13.0,6.0,0.0,1.0,13,0.0,0,32,70490.0,0,0,1,0,0,1,0
13,60000.0,10,69.93,2000,2,0.1561,2301.0,125.0,234.0,2.0,2.0,6,0.0,14.0,10.0,18.0,0.0,10.0,20,20.0,1,46,41412.0,1,0,0,0,1,1,0
14,60000.0,10,170.09,5000,2,0.1367,2837.0,108.0,156.0,1.0,1.0,2,6.0,7.0,11.0,5.0,2.0,3.0,7,50.0,0,30,19861.0,0,0,0,0,1,1,0
15,52000.0,10,498.6,14300,8,0.1541,6824.0,87.0,183.0,18.0,14.0,0,5.0,13.0,10.0,7.0,0.0,0.0,15,100.0,0,33,88713.0,0,0,0,0,1,1,0
16,195000.0,10,389.58,12000,2,0.1042,4006.0,142.0,384.0,2.0,2.0,1,30.0,10.0,7.0,10.0,0.0,2.0,11,0.0,0,30,40057.0,0,0,0,0,1,1,0
